First Name,Last Name,Position,GP,Salary,PS,draft_overall,age,position_group,predicted_value_total
Thomas,Chabot,D,1,925000,-0.2,18.0,20,D,-0.022449223815670598
Cody,Ceci,D,79,2250000,3.2,15.0,24,D,4.027930270117612
Kyle,Okposo,RW,65,8000000,5.0,7.0,29,F,5.201783633019822
Erik,Gudbranson,D,30,3500000,0.5,3.0,25,D,0.9491532457615147
Tom,Wilson,RW,82,1750000,1.3,16.0,23,F,1.9675469979041742
Brian,Campbell,D,80,1500000,4.3,156.0,38,D,3.0393587947298695
Anton,Rodin,RW,3,950000,0.1,53.0,27,F,0.05011503402345979
Evan,Rodrigues,LW/C,30,842500,0.2,300.0,24,F,0.3684758295985699
Devante,Smith-Pelly,RW/C/LW,53,1250000,-0.3,42.0,25,F,0.7451835692598515
Matthew,Peca,C,10,925000,0.0,201.0,24,F,0.08966966362648005
Andrew,Desjardins,LW/C,46,800000,-1.0,300.0,31,F,-0.543970763937907
Michael,Chaput,C,68,600000,-0.3,89.0,25,F,0.5817011251836245
Ryan,White,C,65,1000000,0.9,66.0,29,F,1.6858096382204972
Sam,Bennett,C,81,925000,1.6,4.0,21,F,3.058106495527744
Colton,Sceviour,C/RW,80,950000,1.3,112.0,28,F,3.161050176955013
Brett,Kulak,D,21,680000,0.4,105.0,23,D,0.16143806112320244
Scott,Wilson,LW/C,78,590000,2.0,209.0,25,F,2.8092191033463014
Taylor,Beck,LW,5,650000,-0.2,70.0,26,F,-0.11676050231525434
Roman,Polak,D,75,2250000,3.2,180.0,31,D,3.2412248466463094
Seth,Helgeson,D,9,600000,0.6,114.0,27,D,0.1566071659989468
Morgan,Rielly,D,76,5000000,2.9,5.0,23,D,4.625540350844428
Jaden,Schwartz,LW/C,78,5250000,6.4,14.0,25,F,6.43909713585992
William,Nylander,C/RW,81,925000,6.8,8.0,21,F,6.697693030585374
Andrej,Sustr,D,80,1600000,2.5,300.0,27,D,2.47126510457483
Brandon,Carlo,D,82,717500,5.2,37.0,21,D,3.1680962880317804
David,Pastrnak,RW/LW,75,925000,10.3,25.0,21,F,8.877132014414551
Tyson,Jost,C/LW/RW,6,900000,-0.1,10.0,19,F,0.05436198148886123
David,Perron,LW/RW,82,3750000,4.7,26.0,29,F,5.064904751867596
Oskar,Sundqvist,C,10,792500,-0.4,81.0,23,F,-0.20789856020011566
Tim,Schaller,C,59,600000,1.1,300.0,27,F,1.4476817623976013
Brayden,Schenn,C/LW,79,6000000,6.2,5.0,26,F,6.77276353604509
Justin,Faulk,D,75,5500000,6.6,37.0,25,D,5.500733745270894
Joseph,Cramarossa,C/LW,59,724500,0.6,65.0,25,F,0.6798952393964723
Daniel,Carr,LW,33,725000,0.8,300.0,26,F,0.5043923074980114
Radko,Gudas,D,67,4000000,5.5,66.0,27,D,4.27285472405793
Gabriel,Bourque,LW/RW,6,800000,-0.1,132.0,27,F,-0.03646809400752227
Roman,Josi,D,72,4250000,8.7,38.0,27,D,7.096982988857176
Jaccob,Slavin,D,82,742500,8.6,120.0,23,D,6.196864859454691
Greg,Pateryn,D,36,750000,1.5,128.0,27,D,1.6977614219208397
Anton,Stralman,D,73,4500000,4.8,216.0,31,D,3.677446454568773
Adam,Larsson,D,79,3000000,5.5,4.0,25,D,4.392664478730328
Nic,Dowd,C,70,630000,1.3,198.0,27,F,2.5136807660912215
Antoine,Roussel,LW,60,2200000,2.7,300.0,28,F,3.419379927277299
Brian,Lashoff,D,5,650000,-0.2,300.0,27,D,-0.05790946272646445
Paul,Byron,LW/C/RW,81,1300000,6.0,179.0,28,F,5.384613033740934
Alex,Wennberg,C,80,925000,5.9,14.0,23,F,6.773601436096622
Korbinian,Holzer,D,32,700000,1.5,111.0,29,D,0.8772111952234465
Martin,Marincin,D,25,1200000,1.4,46.0,25,D,0.8178764157291112
Ivan,Provorov,D,82,925000,5.7,7.0,20,D,5.781920762126857
Lawson,Crouse,LW,72,925000,-0.3,11.0,20,F,0.6890502566303714
Jordan,Staal,C/LW,75,6000000,4.6,2.0,29,F,5.128848968608706
Boyd,Gordon,C/RW,13,950000,-0.2,17.0,34,F,-0.0639392745882865
