year,overall_pick,team,player,position,games_played,point_shares
2021,1,Buffalo Sabres,Owen Power,D,323,17.132380140009765
2021,2,Seattle Kraken,Matty Beniers,C,331,23.409280774764497
2021,3,Anaheim Ducks,Mason McTavish,C,304,19.665065201218223
2021,4,New Jersey Devils,Luke Hughes,D,223,13.50545870188258
2021,5,Columbus Blue Jackets,Kent Johnson,C,274,14.865447290313886
2021,6,Detroit Red Wings,Simon Edvinsson,D,175,11.439501814685247
2021,7,San Jose Sharks,William Eklund,LW,252,19.34143137551284
2021,8,Los Angeles Kings,Brandt Clarke,D,185,6.255461184776731
2021,9,Arizona Coyotes,Dylan Guenther,RW,227,21.036052006188164
2021,10,Ottawa Senators,Tyler Boucher,RW,0,0.0
2021,12,Columbus Blue Jackets,Cole Sillinger,C,367,15.823289155548524
2021,13,Calgary Flames,Matt Coronato,RW,192,11.165464163043278
2021,14,Buffalo Sabres,Isak Rosen,RW,52,0.7442691813588159
2021,15,Detroit Red Wings,Sebastian Cossa,G,1,0.0
2021,16,New York Rangers,Brennan Othmann,LW,44,-0.1705203502061062
2021,17,St. Louis Blues,Zachary Bolduc,C,175,6.396539236332536
2021,18,Winnipeg Jets,Chaz Lucius,C,0,0.0
2021,19,Nashville Predators,Fedor Svechkov,C,122,3.289711326740302
2021,20,Minnesota Wild,Jesper Wallstedt,G,40,0.0
2021,21,Boston Bruins,Fabian Lysell,RW,12,0.0958964535763091
2021,22,Edmonton Oilers,Xavier Bourgault,C,2,-0.0515365716326452
2021,23,Dallas Stars,Wyatt Johnston,C,328,28.05623456906041
2021,24,Florida Panthers,Mackie Samoskevich,RW,156,5.917793927121448
2021,25,Columbus Blue Jackets,Corson Ceulemans,D,0,0.0
2021,26,Minnesota Wild,Carson Lambos,D,1,0.0043658677619414
2021,27,Nashville Predators,Zachary L'Heureux,LW,87,1.7612770808338407
2021,28,Colorado Avalanche,Oskar Olausson,RW,4,-0.0256550669182145
2021,29,New Jersey Devils,Chase Stillman,RW,0,0.0
2021,30,Vegas Golden Knights,Zach Dean,C,9,-0.1245317010379535
2021,31,Montréal Canadiens,Logan Mailloux,D,75,2.4501547618553614
2021,32,Chicago Blackhawks,Nolan Allan,D,43,0.9620576414020529
2021,33,Buffalo Sabres,Prokhor Poltapov,LW,0,0.0
2021,34,Anaheim Ducks,Olen Zellweger,D,164,5.535579193065309
2021,35,Seattle Kraken,Ryker Evans,D,176,7.688112293639577
2021,36,Detroit Red Wings,Shai Buium,D,0,0.0
2021,37,Arizona Coyotes,Josh Doan,RW,144,7.947660694021338
2021,38,Vegas Golden Knights,Daniil Chayka,D,0,0.0
2021,39,Ottawa Senators,Zack Ostapchuk,C,122,0.2307391755002582
2021,40,Carolina Hurricanes,Scott Morrow,D,4,-0.1015881768733443
2021,41,Vancouver Canucks,Danila Klimovich,RW,0,0.0
2021,42,Los Angeles Kings,Francesco Pinelli,C,0,0.0
2021,43,Arizona Coyotes,Ilya Fedotov,LW,0,0.0
2021,44,Carolina Hurricanes,Aleksi Heimosalmi,D,0,0.0
2021,45,Calgary Flames,William Stromgren,LW,3,-0.0846303806876405
2021,46,Philadelphia Flyers,Samu Tuomaala,RW,0,0.0
2021,47,Dallas Stars,Logan Stankoven,C,183,9.6117589774564
2021,48,Dallas Stars,Artem Grushnikov,D,0,0.0
2021,49,Ottawa Senators,Ben Roger,D,0,0.0
2021,50,Winnipeg Jets,Nikita Chibrikov,RW,16,0.3979502735073806
2021,51,Carolina Hurricanes,Ville Koivunen,RW,47,1.0492421810551296
2021,52,New York Islanders,Aatu Räty,C,114,1.9269502997543069
2021,53,Buffalo Sabres,Aleksandr Kisakov,LW,0,0.0
2021,54,Minnesota Wild,Jack Peart,D,0,0.0
2021,55,Washington Capitals,Vincent Iorio,D,36,0.5310981313915502
2021,56,Florida Panthers,Evan Nause,D,0,0.0
2021,57,Toronto Maple Leafs,Matthew Knies,LW,240,16.85548311045242
2021,58,Pittsburgh Penguins,Tristan Broz,C,1,-0.0212309014010505
2021,59,Los Angeles Kings,Samuel Helenius,C,103,-0.0534556828941526
2021,60,Arizona Coyotes,J.J. Moser,D,338,13.545440851352414
