trade_id,season,date,month,side,acquiring_team,counterparty_team,type,subtype,name,birth_year,pick_year,pick_round,pick_overall,pick_player,is_conditional,cash_amount,wrapped_in_future_considerations,raw
1,2024-25,"March 7, 2025",March,team_one,Anaheim Ducks,New York Islanders,player,trade,Oliver Kylington,,,,,,False,,False,Oliver Kylington
1,2024-25,"March 7, 2025",March,team_two,New York Islanders,Anaheim Ducks,other,future_considerations,,,,,,,False,,True,Future considerations
2,2024-25,"March 7, 2025",March,team_one,Colorado Avalanche,New York Islanders,player,trade,Brock Nelson,,,,,,False,,False,Brock Nelson
2,2024-25,"March 7, 2025",March,team_one,Colorado Avalanche,New York Islanders,player,trade,William Dufour,,,,,,False,,False,William Dufour
2,2024-25,"March 7, 2025",March,team_two,New York Islanders,Colorado Avalanche,pick,pick,,,2028.0,3.0,,,True,,False,2028 conditional 3rd round pick
2,2024-25,"March 7, 2025",March,team_two,New York Islanders,Colorado Avalanche,player,trade,Calum Ritchie,,,,,,False,,False,Calum Ritchie
2,2024-25,"March 7, 2025",March,team_two,New York Islanders,Colorado Avalanche,player,trade,Oliver Kylington,,,,,,False,,False,Oliver Kylington
2,2024-25,"March 7, 2025",March,team_two,New York Islanders,Colorado Avalanche,pick,pick,,,2026.0,1.0,,,True,,False,2026 conditional 1st round pick
3,2024-25,"March 7, 2025",March,team_one,Washington Capitals,Pittsburgh Penguins,player,trade,Anthony Beauvillier,,,,,,False,,False,Anthony Beauvillier
3,2024-25,"March 7, 2025",March,team_two,Pittsburgh Penguins,Washington Capitals,pick,pick,,,2025.0,2.0,,,False,,False,2025 2nd round pick
4,2024-25,"March 7, 2025",March,team_one,Los Angeles Kings,Philadelphia Flyers,player,trade,Andrei Kuzmenko,,,,,,False,,False,Andrei Kuzmenko
4,2024-25,"March 7, 2025",March,team_one,Los Angeles Kings,Philadelphia Flyers,pick,pick,,,2025.0,7.0,,,False,,False,2025 7th round pick
4,2024-25,"March 7, 2025",March,team_two,Philadelphia Flyers,Los Angeles Kings,pick,pick,,,2027.0,3.0,,,False,,False,2027 3rd round pick
5,2024-25,"March 7, 2025",March,team_one,Ottawa Senators,Buffalo Sabres,player,trade,Dylan Cozens,,,,,,False,,False,Dylan Cozens
5,2024-25,"March 7, 2025",March,team_one,Ottawa Senators,Buffalo Sabres,player,trade,Dennis Gilbert,,,,,,False,,False,Dennis Gilbert
5,2024-25,"March 7, 2025",March,team_one,Ottawa Senators,Buffalo Sabres,pick,pick,,,2026.0,2.0,,,False,,False,2026 2nd round pick
5,2024-25,"March 7, 2025",March,team_two,Buffalo Sabres,Ottawa Senators,player,trade,Josh Norris,,,,,,False,,False,Josh Norris
5,2024-25,"March 7, 2025",March,team_two,Buffalo Sabres,Ottawa Senators,player,trade,Jacob Bernard-Docker,,,,,,False,,False,Jacob Bernard-Docker
6,2024-25,"March 7, 2025",March,team_one,Dallas Stars,Carolina Hurricanes,player,trade,Mikko Rantanen,,,,,,False,,False,Mikko Rantanen
6,2024-25,"March 7, 2025",March,team_two,Carolina Hurricanes,Dallas Stars,player,trade,Logan Stankoven,,,,,,False,,False,Logan Stankoven
6,2024-25,"March 7, 2025",March,team_two,Carolina Hurricanes,Dallas Stars,pick,pick,,,2026.0,1.0,,,True,,False,2026 conditional 1st round pick
6,2024-25,"March 7, 2025",March,team_two,Carolina Hurricanes,Dallas Stars,pick,pick,,,2028.0,1.0,,,True,,False,2028 conditional 1st round pick
6,2024-25,"March 7, 2025",March,team_two,Carolina Hurricanes,Dallas Stars,pick,pick,,,2026.0,3.0,,,False,,False,2026 3rd round pick
6,2024-25,"March 7, 2025",March,team_two,Carolina Hurricanes,Dallas Stars,pick,pick,,,2027.0,3.0,,,False,,False,2027 3rd round pick
7,2024-25,"March 7, 2025",March,team_one,Winnipeg Jets,Pittsburgh Penguins,player,trade,Luke Schenn,,,,,,False,,False,Luke Schenn
7,2024-25,"March 7, 2025",March,team_two,Pittsburgh Penguins,Winnipeg Jets,pick,pick,,,2026.0,2.0,,,False,,False,2026 2nd round pick
7,2024-25,"March 7, 2025",March,team_two,Pittsburgh Penguins,Winnipeg Jets,pick,pick,,,2027.0,4.0,,,False,,False,2027 4th round pick
8,2024-25,"March 7, 2025",March,team_one,Toronto Maple Leafs,Philadelphia Flyers,player,trade,Scott Laughton,,,,,,False,,False,Scott Laughton
8,2024-25,"March 7, 2025",March,team_one,Toronto Maple Leafs,Philadelphia Flyers,pick,pick,,,2025.0,4.0,,,False,,False,2025 4th round pick
8,2024-25,"March 7, 2025",March,team_one,Toronto Maple Leafs,Philadelphia Flyers,pick,pick,,,2027.0,6.0,,,False,,False,2027 6th round pick
8,2024-25,"March 7, 2025",March,team_two,Philadelphia Flyers,Toronto Maple Leafs,player,trade,Nikita Grebenkin,,,,,,False,,False,Nikita Grebenkin
8,2024-25,"March 7, 2025",March,team_two,Philadelphia Flyers,Toronto Maple Leafs,pick,pick,,,2027.0,1.0,,,True,,False,2027 conditional 1st round pick
9,2024-25,"March 7, 2025",March,team_one,Winnipeg Jets,Seattle Kraken,player,trade,Brandon Tanev,,,,,,False,,False,Brandon Tanev
9,2024-25,"March 7, 2025",March,team_two,Seattle Kraken,Winnipeg Jets,pick,pick,,,2027.0,2.0,,,False,,False,2027 2nd round pick
10,2024-25,"March 7, 2025",March,team_one,Colorado Avalanche,Boston Bruins,player,trade,Charlie Coyle,,,,,,False,,False,Charlie Coyle
10,2024-25,"March 7, 2025",March,team_one,Colorado Avalanche,Boston Bruins,pick,pick,,,2026.0,5.0,,,False,,False,2026 5th round pick
10,2024-25,"March 7, 2025",March,team_two,Boston Bruins,Colorado Avalanche,player,trade,Casey Mittelstadt,,,,,,False,,False,Casey Mittelstadt
10,2024-25,"March 7, 2025",March,team_two,Boston Bruins,Colorado Avalanche,player,trade,William Zellers,,,,,,False,,False,William Zellers
10,2024-25,"March 7, 2025",March,team_two,Boston Bruins,Colorado Avalanche,pick,pick,,,2025.0,2.0,,,False,,False,2025 2nd round pick
11,2024-25,"March 7, 2025",March,team_one,Columbus Blue Jackets,San Jose Sharks,player,trade,Luke Kunin,,,,,,False,,False,Luke Kunin
11,2024-25,"March 7, 2025",March,team_two,San Jose Sharks,Columbus Blue Jackets,pick,pick,,,2025.0,4.0,,,False,,False,2025 4th round pick
12,2024-25,"March 7, 2025",March,team_one,Detroit Red Wings,Chicago Blackhawks,player,trade,Petr Mrazek,,,,,,False,,False,Petr Mrazek
12,2024-25,"March 7, 2025",March,team_one,Detroit Red Wings,Chicago Blackhawks,player,trade,Craig Smith,,,,,,False,,False,Craig Smith
12,2024-25,"March 7, 2025",March,team_two,Chicago Blackhawks,Detroit Red Wings,player,trade,Joe Veleno,,,,,,False,,False,Joe Veleno
13,2024-25,"March 7, 2025",March,team_one,New Jersey Devils,Pittsburgh Penguins,player,trade,Cody Glass,,,,,,False,,False,Cody Glass
13,2024-25,"March 7, 2025",March,team_one,New Jersey Devils,Pittsburgh Penguins,player,trade,Jonathan Gruden,,,,,,False,,False,Jonathan Gruden
13,2024-25,"March 7, 2025",March,team_two,Pittsburgh Penguins,New Jersey Devils,player,trade,Chase Stillman,,,,,,False,,False,Chase Stillman
13,2024-25,"March 7, 2025",March,team_two,Pittsburgh Penguins,New Jersey Devils,player,trade,Max Graham,,,,,,False,,False,Max Graham
13,2024-25,"March 7, 2025",March,team_two,Pittsburgh Penguins,New Jersey Devils,pick,pick,,,2027.0,3.0,,,False,,False,2027 3rd round pick
14,2024-25,"March 7, 2025",March,team_one,Florida Panthers,Boston Bruins,player,trade,Brad Marchand,,,,,,False,,False,Brad Marchand
14,2024-25,"March 7, 2025",March,team_two,Boston Bruins,Florida Panthers,pick,pick,,,2027.0,2.0,,,True,,False,2027 conditional 2nd round pick
15,2024-25,"March 7, 2025",March,team_one,Toronto Maple Leafs,Boston Bruins,player,trade,Brandon Carlo,,,,,,False,,False,Brandon Carlo
15,2024-25,"March 7, 2025",March,team_two,Boston Bruins,Toronto Maple Leafs,player,trade,Fraser Minten,,,,,,False,,False,Fraser Minten
15,2024-25,"March 7, 2025",March,team_two,Boston Bruins,Toronto Maple Leafs,pick,pick,,,2026.0,1.0,,,True,,False,2026 conditional 1st round pick
15,2024-25,"March 7, 2025",March,team_two,Boston Bruins,Toronto Maple Leafs,pick,pick,,,2025.0,4.0,,,False,,False,2025 4th round pick
16,2024-25,"March 7, 2025",March,team_one,Colorado Avalanche,Philadelphia Flyers,player,trade,Erik Johnson,,,,,,False,,False,Erik Johnson
16,2024-25,"March 7, 2025",March,team_two,Philadelphia Flyers,Colorado Avalanche,player,trade,Givani Smith,,,,,,False,,False,Givani Smith
17,2024-25,"March 7, 2025",March,team_one,Ottawa Senators,San Jose Sharks,player,trade,Fabian Zetterlund,,,,,,False,,False,Fabian Zetterlund
17,2024-25,"March 7, 2025",March,team_one,Ottawa Senators,San Jose Sharks,player,trade,Tristen Robins,,,,,,False,,False,Tristen Robins
17,2024-25,"March 7, 2025",March,team_one,Ottawa Senators,San Jose Sharks,pick,pick,,,2025.0,4.0,,,False,,False,2025 4th round pick
17,2024-25,"March 7, 2025",March,team_two,San Jose Sharks,Ottawa Senators,player,trade,Noah Gregor,,,,,,False,,False,Noah Gregor
